TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Maut_SID_Ri1;Maut_SID_Ri2;Anz_Fs_Ri1;Anz_Fs_Ri2;DTA_SV_Ri1;fA_SV_Ri1;qBm_SV_Ri1;B_anno_SV_Ri1;DTA_SV_Ri2;fA_SV_Ri2;qBm_SV_Ri2;B_anno_SV_Ri2;DTV_Bus_Ri1;DTV_LoA_Ri1;DTV_Lzg_Ri1;DTV_Sat_Ri1;DTV_Bus_Ri2;DTV_LoA_Ri2;DTV_Lzg_Ri2;DTV_Sat_Ri2;Anmerkungen;
4408;5147;Gelsenkirchen-Erle;5;NW;A;2;;8+1;Dortmund;AS Herten;O;Oberhausen (A3/A516);AS Gelsenkirchen-Buer;W;6;455,6;45;28;11;6;77.266;37.107;40.159;82.136;39.726;42.410;78.154;37.318;40.836;57.956;27.058;30.898;+2,8;+2,8;-0,1;+8,2;12.255;6.141;6.113;15.037;7.566;7.471;12.444;6.169;6.275;1.619;782;837;-9,3;-8,5;-11,1;-19,1;15,9;18,3;15,9;2,8;0,95;0,71;1,08;4.302;14,7;1.054;25,6;4.736;15,4;3.000;11,0;;;;;;;;;;;;;;;;;;D;D;A;B;B;D;8;17;D;8;17;D;8;17;D;8;17;D;8;15;D;8;15;D;15;;A;;;D;19;;C;15;;83,0;10,0;0,5;1,2;2,3;13,4;11,6;0,1;0,0;80,6;10,6;0,5;1,1;2,6;15,5;13,4;0,1;0,0;82,8;10,1;0,6;1,3;2,3;13,5;11,6;0,1;0,0;95,8;6,9;0,8;1,4;0,8;1,9;1,7;0,2;0,0;366.559;5.714.327;84.151;40.678;43.473;16.385;8.253;8.132;66.549;31.590;34.959;4.715;2.196;2.519;;;;;;;;;;;;;;;;;84.949;41.183;43.765;16.858;8.517;8.340;19,8;20,7;19,1;51,56421738;7,07478790;3.547;3.885;9,6;9,7;14,1;10,5;12,5;8,1;8,6;8,9;41.169;44.188;0,70;0,72;0,97;0,93;1,08;1,08;0,84;0,85;3.979;123;609;26;2.653;41;289;17;780;33;236;5;20;4408119A4408074A;4,337;Ri1_ist_VonNK;307;3.173;3;3;27.016;4,4;0,33;2.951.137;26.878;4,4;0,33;2.937.152;53;898;5.191;4.475;58;895;5.160;4.454;;
4311;5173;Kamen;5;NW;A;2;;8+1;Hannover;AK Kamener Kreuz (A1);O;Dortmund;AS Kamen/Bergkamen;W;6;414,0;325;193;75;57;72.656;35.816;36.840;76.958;38.064;38.894;72.868;36.084;36.784;56.313;27.080;29.233;;;;;15.828;7.795;8.034;19.347;9.560;9.787;16.239;7.919;8.320;2.164;1.042;1.122;;;;;21,8;25,1;22,3;3,8;0,95;0,75;1,05;3.972;20,0;1.137;33,9;4.341;21,1;2.866;15,4;;;;;;;;;;;;;;;;;;D;D;A;B;B;G;8;;D;8;17;C;;;D;8;17;C;;;E;16;;A;;;D;14;;A;;;D;18;;75,2;7,8;0,2;1,3;3,4;18,0;15,0;0,4;1,7;72,0;8,3;0,2;1,2;3,8;20,9;17,5;0,4;1,6;74,7;7,8;0,2;1,4;3,4;18,5;15,4;0,4;1,7;92,6;5,4;0,4;1,5;1,2;2,3;2,0;0,3;2,1;406.622;5.717.318;78.500;38.738;39.762;21.130;10.424;10.706;63.508;31.907;31.602;6.162;2.973;3.189;;;;;;;;;;;;;;;;;79.303;39.156;40.148;21.678;10.728;10.949;27,3;27,4;27,3;51,59915342;7,65177961;3.091;3.507;8,6;9,5;20,3;13,0;17,3;10,0;7,9;8,7;39.405;41.041;0,75;0,75;0,95;0,94;1,10;1,01;0,87;0,83;3.416;171;744;10;2.420;69;371;6;750;53;333;1;70;4312017O4411082O;2,000;Ri1_ist_VonNK;914;4.736;3;3;33.888;4,35;0,33;3.701.584;34.936;4,35;0,33;3.791.849;188;1.172;6.435;5.359;106;1.280;6.647;5.566;;
4407;5026;Oberhausen-Sterkrade;5;NW;A;2;;8+1;Dortmund;AS Oberhausen-Königshardt;O;AK Oberh. (A3/A516);AK Kreuz Oberhausen (A3/A516);W;6;471,0;116;83;14;19;112.121;54.550;57.570;114.794;56.193;58.601;111.430;54.093;57.337;102.989;48.980;54.009;+1,7;+0,7;-5,9;+19,6;20.253;9.818;10.435;24.456;11.852;12.604;20.781;9.949;10.833;3.884;2.051;1.834;-9,9;-9,5;-11,0;-9,8;18,1;21,3;18,6;3,8;0,97;0,96;1,13;6.171;16,8;1.673;27,4;6.687;17,8;4.622;12,3;;;;;;;;;;;;;;;;;;D;D;B;D;D;C;;;C;;;C;;;D;8;17;C;;;C;;;A;;;A;;;A;;;A;;;80,3;8,1;0,2;1,1;3,8;14,2;11,9;0,1;0,6;77,0;8,3;0,2;1,1;4,2;17,0;14,3;0,1;0,6;79,6;8,0;0,2;1,2;3,8;14,7;12,3;0,1;0,5;94,7;7,3;0,6;1,1;1,8;1,8;1,5;0,1;0,4;351.908;5.711.923;114.824;56.141;58.683;26.455;12.743;13.712;109.735;53.376;56.359;9.397;4.752;4.645;;;;;;;;;;;;;;;;;115.663;56.704;58.959;27.115;13.111;14.004;23,4;23,1;23,8;51,53895621;6,86456552;5.314;5.043;9,7;8,8;17,6;8,6;13,8;6,0;9,4;8,6;54.149;58.684;0,95;0,96;1,04;0,94;1,13;1,13;1,03;1,00;5.476;271;922;18;4.043;123;444;12;1.212;78;381;1;10;4407119A4407091A;0,344;Ri1_ist_VonNK;2.207;285;3;3;41.489;4,23;0,32;4.396.244;44.261;4,24;0,32;4.718.110;62;2.068;7.688;6.320;65;2.170;8.200;7.064;;
4114;5102;Oelde;5;NW;A;2;;8+1;Hannover;AS Herzebrock-Clarholz;O;Dortmund;AS Oelde;W;6;367,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;442.507;5.741.080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,81759438;8,16590641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;4115085O4114036O;4,055;Ri1_ist_VonNK;6.159;6.160;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
4409;5126;Recklinghausen-Ost;5;NW;A;2;;8+1;Dortmund;AS Recklinghausen-Ost;O;Oberhausen (A3/A516);AS Recklinghausen-Süd;W;6;443,3;26;17;6;3;78.866;40.499;38.367;84.488;43.595;40.893;79.214;40.808;38.406;57.423;28.544;28.880;+4,2;+5,2;-0,9;+8,2;13.298;6.742;6.556;16.314;8.298;8.016;13.615;6.832;6.784;1.631;818;814;-6,8;-5,7;-9,2;-20,1;16,9;19,3;17,2;2,8;0,94;0,69;1,05;4.402;15,6;1.054;27,5;4.871;16,4;2.994;11,6;;;;;;;;;;;;;;;;;;D;D;A;B;B;D;8;17;D;8;17;D;8;17;D;8;17;D;8;16;D;8;16;D;15;;D;17;;D;18;;D;18;;81,9;10,1;0,4;1,2;2,5;14,2;12,2;0,2;0,0;79,5;10,7;0,3;1,1;2,9;16,3;14,0;0,2;0,0;81,5;10,0;0,5;1,3;2,6;14,4;12,4;0,2;0,0;95,7;6,9;0,7;1,5;0,7;1,9;1,7;0,2;0,0;378.224;5.717.349;86.563;44.768;41.794;17.816;9.077;8.740;66.724;33.835;32.888;5.091;2.381;2.710;;;;;;;;;;;;;;;;;87.650;45.348;42.301;18.304;9.349;8.955;20,9;20,6;21,2;51,59401481;7,24194345;3.958;3.749;9,8;9,8;14,2;12,6;11,7;10,4;8,7;8,9;45.885;42.824;0,68;0,70;0,95;0,94;1,06;1,04;0,82;0,85;4.051;140;659;21;2.636;41;305;12;761;36;254;3;50;4409168A4409125A;0,768;Ri1_ist_VonNK;2.292;4.924;3;3;29.490;4,37;0,33;3.211.403;28.804;4,39;0,33;3.146.965;66;1.042;5.635;4.838;67;962;5.527;4.757;;
4116;5176;Rheda-Wiedenbrück;5;NW;A;2;;8+1;Hannover;AS Gütersloh;O;Dortmund;AS Rheda-Wiedenbrück;W;6;353,8;261;176;55;30;78.828;39.487;39.341;80.685;40.738;39.948;79.733;40.239;39.494;70.756;33.874;36.882;+6,3;+7,2;+0,0;+11,9;16.440;8.159;8.281;19.950;9.943;10.007;16.970;8.391;8.579;2.663;1.202;1.461;-1,1;-0,4;-2,7;-9,6;20,9;24,7;21,3;3,8;0,99;0,88;1,11;4.332;18,6;1.189;37,0;4.700;19,3;3.229;15,6;;;;;;;;;;;;;;;;;;D;D;B;B;D;G;8;;C;;;C;;;C;;;C;;;E;15;;A;;;D;13;;D;18;;C;17;;75,4;8,4;0,2;1,5;3,3;17,1;13,9;0,4;2,2;71,7;8,9;0,1;1,4;3,8;20,5;16,6;0,5;2,2;74,9;8,3;0,2;1,6;3,3;17,5;14,2;0,4;2,2;92,2;6,3;0,3;1,7;1,4;2,1;1,8;0,3;2,3;454.947;5.745.701;82.490;41.625;40.864;21.720;10.797;10.922;70.550;35.708;34.842;7.017;3.535;3.482;;;;;;;;;;;;;;;;;82.648;41.707;40.941;22.218;11.066;11.152;26,9;26,5;27,2;51,86028314;8,34576570;3.583;3.741;9,1;9,5;16,6;2,6;13,1;0,9;8,6;9,1;41.438;41.325;0,84;0,91;0,95;0,99;1,14;1,08;0,89;0,88;3.783;179;729;8;2.719;91;414;5;748;57;382;1;130;4116031O4115046O;6,900;Ri1_ist_VonNK;1.425;4.259;3;3;35.248;4,32;0,33;3.837.542;35.849;4,33;0,33;3.873.628;231;1.268;6.660;5.397;115;1.362;6.805;5.544;;
4313;5174;Rhynern;5;NW;A;2;;8+1;Hannover;AS Hamm-Uentrop;O;Dortmund;AS Hamm;W;6;399,1;338;205;74;59;75.084;37.269;37.815;76.161;38.045;38.116;76.327;38.164;38.163;69.509;33.253;36.257;;;;;17.020;8.458;8.563;20.677;10.322;10.355;17.521;8.651;8.870;2.728;1.247;1.481;;;;;22,7;27,1;23,0;3,9;1,00;0,93;1,11;4.118;20,3;1.150;39,6;4.440;21,2;3.150;16,7;;;;;;;;;;;;;;;;;;C;D;B;D;D;C;;;C;;;C;;;C;;;C;;;E;16;;A;;;D;13;;D;18;;D;17;;73,3;7,8;0,2;1,5;3,5;18,8;15,4;0,4;2,5;68,9;8,4;0,1;1,4;4,0;22,7;18,6;0,5;2,5;72,9;7,7;0,2;1,6;3,5;19,1;15,6;0,4;2,6;91,8;5,7;0,3;1,7;1,4;2,2;1,9;0,3;2,6;420.817;5.720.018;77.663;38.768;38.895;22.528;11.226;11.302;69.126;34.715;34.411;7.098;3.502;3.597;;;;;;;;;;;;;;;;;77.580;38.724;38.856;23.061;11.519;11.542;29,7;29,7;29,7;51,62560498;7,85607227;3.451;3.632;9,3;9,6;12,4;3,3;9,7;1,0;8,9;9,3;38.504;39.215;0,91;0,96;0,95;0,99;1,14;1,08;0,94;0,93;3.493;175;764;8;2.620;92;433;5;694;58;398;1;100;4313005O4313016O;11,400;Ri1_ist_VonNK;1.353;4.181;3;3;36.788;4,35;0,33;3.995.425;37.220;4,35;0,33;4.050.927;139;1.311;7.008;5.754;177;1.305;7.081;5.800;;
4116;5177;Sürenheide;5;NW;A;2;;8+1;Hannover;AK Kreuz Bielefeld (A33);O;Dortmund;AS Gütersloh;W;6;346,2;257;173;57;27;83.512;41.513;41.999;85.755;42.918;42.837;84.365;42.283;42.082;74.063;35.304;38.759;+6,0;+6,9;-0,5;+11,9;16.961;8.421;8.540;20.606;10.258;10.349;17.517;8.663;8.853;2.644;1.251;1.393;-1,0;-0,3;-2,6;-9,0;20,3;24,0;20,8;3,6;0,98;0,86;1,10;4.611;18,1;1.217;36,9;5.009;18,8;3.418;14,9;;;;;;;;;;;;;;;;;;D;D;B;B;B;C;;;C;;;C;;;C;;;C;;;E;16;;A;;;D;14;;D;18;;C;17;;76,1;7,5;0,2;1,5;3,4;16,5;13,4;0,4;2,1;72,5;8,0;0,1;1,4;3,8;19,8;16,0;0,4;2,1;75,5;7,5;0,2;1,6;3,4;17,0;13,8;0,4;2,2;92,6;5,2;0,3;1,6;1,3;2,0;1,7;0,3;2,2;461.758;5.748.875;87.742;43.871;43.871;22.468;11.157;11.311;74.096;37.370;36.726;7.068;3.572;3.496;;;;;;;;;;;;;;;;;88.004;43.991;44.014;22.985;11.432;11.553;26,1;26,0;26,2;51,88932357;8,44430689;3.809;3.868;9,2;9,2;16,4;9,6;12,9;7,2;8,7;8,8;43.840;44.491;0,83;0,89;0,95;0,99;1,13;1,07;0,88;0,86;4.056;191;753;9;2.902;92;418;6;767;62;388;1;140;4017076O4116031O;10,200;Ri1_ist_VonNK;4.263;2.405;3;3;36.273;4,31;0,33;3.926.270;36.852;4,32;0,33;3.984.304;187;1.391;6.843;5.534;154;1.419;6.967;5.666;;
4410;5125;Waltrop-Brambauer;5;NW;A;2;;8+1;Hannover;AS Dortmund-Nordost;O;Oberhausen (A3/A516);AS Dortmund-Mengede (L609);W;6;426,1;67;46;11;10;90.929;45.247;45.682;96.995;48.504;48.491;92.166;45.819;46.348;66.712;32.358;34.354;+2,3;+2,4;-1,0;+8,1;18.528;9.326;9.202;22.666;11.445;11.221;19.250;9.581;9.669;2.162;1.088;1.075;-3,4;-2,7;-4,4;-17,4;20,4;23,4;20,9;3,2;0,95;0,70;1,05;5.003;18,8;1.360;32,1;5.511;19,8;3.478;14,2;;;;;;;;;;;;;;;;;;D;D;A;B;B;D;8;17;D;8;17;C;;;D;8;17;C;;;D;8;15;A;;;D;15;;D;18;;D;18;;78,5;9,9;0,5;1,1;2,9;17,4;14,8;0,1;0,0;75,5;10,4;0,4;1,1;3,2;20,0;17,0;0,1;0,0;77,9;10,0;0,5;1,2;2,9;17,8;15,1;0,1;0,0;95,4;6,8;0,7;1,3;0,8;2,3;2,0;0,2;0,0;394.492;5.714.877;99.888;49.776;50.111;24.916;12.557;12.359;75.919;38.414;37.505;6.773;3.334;3.438;;;;;;;;;;;;;;;;;100.837;50.334;50.503;25.489;12.887;12.601;25,3;25,6;25,0;51,57507373;7,47744975;3.921;4.289;8,7;9,4;18,7;14,9;15,8;12,9;7,8;8,5;50.473;51.502;0,70;0,70;0,96;0,96;1,07;1,03;0,83;0,78;4.396;175;914;27;2.968;53;440;17;917;53;384;6;60;4410097A4410061A;1,225;Ri1_ist_VonNK;1.337;4.165;3;3;41.155;4,41;0,33;4.493.445;40.639;4,42;0,33;4.439.882;62;1.320;7.945;6.750;64;1.288;7.851;6.668;;
5008;5672;AD Heumar (N);5;NW;A;3;;8+1;Oberhausen;AK Kreuz Köln-Ost (A4);N;Köln;AD Dreieck Heumar (A4/A59);S;8;128,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;362.914;5.644.366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,93461042;7,04902763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;780;5008021A5008040A;2,178;Ri1_ist_VonNK;3.416;580;4;4;;;;;;;;;;;;;;;;;Baustelle in 2022;
5008;5673;AD Heumar (S);5;NW;A;3;;8+1;Köln;AD Dreieck Heumar (A4/A59);N;Frankfurt a. Main;AS Königsforst;S;6;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;365.841;5.642.496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,91849010;7,09134656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;770;5008040A5008045A;2,315;Ri1_ist_VonNK;3.453;4.416;3;3;;;;;;;;;;;;;;;;;Baustelle in 2022;
5209;5058;AK BN-Siegburg (N);5;NW;A;3;;8+1;Köln;AS Lohmar;N;Frankfurt a. Main;AK Kreuz Bonn-Siegburg (A560);S;6;22,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;376.098;5.626.922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,78080043;7,24245544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;750;5109010A5209066A;5,395;Ri1_ist_VonNK;672;2.598;3;3;;;;;;;;;;;;;;;;;Baustelle in 2022;
5209;5631;AK BN-Siegburg (S);5;NW;A;3;;8+1;Köln;AK Kreuz Bonn/Siegburg (A560);N;Frankfurt a. Main;AS Siebengebirge;S;6;24,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;375.685;5.621.153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,72885478;7,23855953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;740;5209066A5309021A;5,526;Ri1_ist_VonNK;3.510;677;3;3;;;;;;;;;;;;;;;;;Baustelle in 2022;
4607;5065;AK Breitscheid (S);5;NW;A;3;;8+1;Oberhausen;AK Kreuz Breitscheid (A52);N;Köln;AK Kreuz Ratingen-Ost (A44);S;6;89,9;270;196;51;23;106.759;52.382;54.377;109.130;53.791;55.340;110.057;53.905;56.152;93.785;45.218;48.567;+15,7;+15,0;+10,5;+27,4;13.424;6.427;6.997;16.134;7.739;8.395;14.057;6.791;7.266;2.511;1.072;1.439;+8,0;+7,8;+7,7;+14,1;12,6;14,8;12,8;2,7;1,01;0,88;1,05;5.924;11,5;1.497;20,7;6.410;12,4;4.466;8,0;;;;;;;;;;;;;;;;;;D;D;D;B;B;D;8;17;G;8;;C;;;B;8;;C;;;C;;;D;16;;A;;;C;15;;D;18;;86,0;10,0;0,3;1,4;3,1;9,4;7,5;0,1;0,0;83,9;10,8;0,2;1,3;3,6;11,1;8,9;0,1;0,0;85,6;10,0;0,3;1,7;3,2;9,5;7,7;0,1;0,0;95,7;6,3;0,5;1,6;1,0;1,5;1,2;0,1;0,0;351.181;5.690.555;110.972;54.338;56.634;17.824;8.497;9.327;101.559;51.303;50.256;4.907;2.682;2.226;;;;;;;;;;;;;;;;;110.560;54.240;56.320;18.141;8.640;9.501;16,4;15,9;16,9;51,34676233;6,86307597;4.454;4.564;8,5;8,4;7,9;12,3;5,7;8,3;8,2;8,1;54.964;57.365;0,87;0,89;0,94;1,01;1,07;1,02;0,98;0,86;5.598;219;574;19;4.098;84;273;11;1.185;58;252;2;860;4607056A4707075A;0,485;Ri1_ist_VonNK;475;2.416;3;3;26.488;4,12;0,32;2.762.235;28.852;4,12;0,32;3.001.788;52;1.598;4.777;3.898;49;1.728;5.219;4.147;;
4707;5655;AK Hilden (N);5;NW;A;3;;8+1;Oberhausen;AS Mettmann;N;Köln;AK Kreuz Hilden (A46);S;6;96,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;354.904;5.676.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,21861856;6,92233632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;850;4707027A4807074A;4,770;Ri1_ist_VonNK;4.346;1.507;3;3;;;;;;;;;;;;;;;;;Baustelle in 2022;
4807;5657;AK Hilden (S);5;NW;A;3;;8+1;AK Hilden;AK Kreuz Hilden;N;Köln;AS Solingen;S;6;98,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;357.801;5.668.588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,15105228;6,96680084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;840;4807074A4807009A;5,219;Ri1_ist_VonNK;2.484;5.365;3;3;;;;;;;;;;;;;;;;;Baustelle in 2022;
